model_id,first_seen,last_seen,ever_worked,ever_handled_response,total_tests,working_days,response_handling_days,display_name,last_error,avg_tool_time,avg_response_time,best_tool_time,best_response_time,consistency_score
cross-encoder/ms-marco-minilm-l-12-v2,2025-07-16T13:41:47.551593,2025-07-16T13:41:47.551593,False,False,1,0,0,ms-marco-minilm-l-12-v2,,0.7835891246795654,0.0,0.7835891246795654,0,0.0
google/flan-t5-xl,2025-07-16T13:41:47.551593,2025-07-16T13:41:47.551593,False,False,1,0,0,flan-t5-xl,,0.11186933517456055,0.0,0.11186933517456055,0,0.0
google/flan-t5-xxl,2025-07-16T13:41:47.551593,2025-07-16T13:41:47.551593,False,False,1,0,0,flan-t5-xxl,,0.0938882827758789,0.0,0.0938882827758789,0,0.0
google/flan-ul2,2025-07-16T13:41:47.551593,2025-07-16T13:41:47.551593,False,False,1,0,0,flan-ul2,,0.09962320327758789,0.0,0.09962320327758789,0,0.0
ibm/granite-13b-instruct-v2,2025-07-16T13:41:47.551593,2025-07-16T13:41:47.551593,False,False,1,0,0,granite-13b-instruct-v2,,0.09213638305664062,0.0,0.09213638305664062,0,0.0
ibm/granite-20b-code-instruct,2025-07-16T13:41:47.551593,2025-07-16T13:41:47.551593,False,False,1,0,0,granite-20b-code-instruct,,0.3105964660644531,0.0,0.3105964660644531,0,0.0
ibm/granite-3-1-8b-base,2025-07-16T13:41:47.551593,2025-07-16T13:41:47.551593,False,False,1,0,0,granite-3-1-8b-base,,0.09500312805175781,0.0,0.09500312805175781,0,0.0
ibm/granite-3-2-8b-instruct,2025-07-16T13:41:47.551593,2025-07-16T13:41:47.551593,True,True,1,1,1,granite-3-2-8b-instruct,,0.6479597091674805,0.0,0.6479597091674805,0,1.0
ibm/granite-3-2b-instruct,2025-07-16T13:41:47.551593,2025-07-16T13:41:47.551593,True,True,1,1,1,granite-3-2b-instruct,,0.4760334849357605,0.0,0.4760334849357605,0,1.0
ibm/granite-3-3-8b-instruct,2025-07-16T13:41:47.551593,2025-07-16T13:41:47.551593,False,False,1,0,0,granite-3-3-8b-instruct,,0.5135862827301025,0.0,0.5135862827301025,0,0.0
